Series ID,Year,Period,Label,Value
SUUR0000SAT,2019,M04,2019 Apr,142.347
SUUR0000SAT,2019,M05,2019 May,142.906
SUUR0000SAT,2019,M06,2019 Jun,141.865
SUUR0000SAT,2019,M07,2019 Jul,141.981
SUUR0000SAT,2019,M08,2019 Aug,140.589
SUUR0000SAT,2019,M09,2019 Sep,139.191
SUUR0000SAT,2019,M10,2019 Oct,139.854
SUUR0000SAT,2019,M11,2019 Nov,139.430
SUUR0000SAT,2019,M12,2019 Dec,138.643
SUUR0000SAT,2020,M01,2020 Jan,138.524
SUUR0000SAT,2020,M02,2020 Feb,138.306
SUUR0000SAT,2020,M03,2020 Mar,136.106
SUUR0000SAT,2020,M04,2020 Apr,129.344
SUUR0000SAT,2020,M05,2020 May,126.900
SUUR0000SAT,2020,M06,2020 Jun,129.496
SUUR0000SAT,2020,M07,2020 Jul,133.626
SUUR0000SAT,2020,M08,2020 Aug,135.057
SUUR0000SAT,2020,M09,2020 Sep,134.857
SUUR0000SAT,2020,M10,2020 Oct,134.635
SUUR0000SAT,2020,M11,2020 Nov,134.673
SUUR0000SAT,2020,M12,2020 Dec,135.490
SUUR0000SAT,2021,M01,2021 Jan,137.030
SUUR0000SAT,2021,M02,2021 Feb,139.222
SUUR0000SAT,2021,M03,2021 Mar,143.099
SUUR0000SAT,2021,M04,2021 Apr,147.236
SUUR0000SAT,2021,M05,2021 May,151.285
SUUR0000SAT,2021,M06,2021 Jun,155.871
SUUR0000SAT,2021,M07,2021 Jul,157.049
SUUR0000SAT,2021,M08,2021 Aug,156.237
SUUR0000SAT,2021,M09,2021 Sep,155.107
SUUR0000SAT,2021,M10,2021 Oct,157.942
SUUR0000SAT,2021,M11,2021 Nov,160.703
SUUR0000SAT,2021,M12,2021 Dec,160.891
SUUR0000SAT,2022,M01,2022 Jan,161.956
SUUR0000SAT,2022,M02,2022 Feb,165.635
SUUR0000SAT,2022,M03,2022 Mar,174.806
SUUR0000SAT,2022,M04,2022 Apr,176.576
SUUR0000SAT,2022,M05,2022 May,182.412
SUUR0000SAT,2022,M06,2022 Jun,189.108
SUUR0000SAT,2022,M07,2022 Jul,184.694
SUUR0000SAT,2022,M08,2022 Aug,178.340
SUUR0000SAT,2022,M09,2022 Sep,175.943
SUUR0000SAT,2022,M10,2022 Oct,177.952
SUUR0000SAT,2022,M11,2022 Nov,176.321
SUUR0000SAT,2022,M12,2022 Dec,170.087
SUUR0000SAT,2023,M01,2023 Jan,171.383
SUUR0000SAT,2023,M02,2023 Feb,172.718
SUUR0000SAT,2023,M03,2023 Mar,174.082
SUUR0000SAT,2023,M04,2023 Apr,177.691
SUUR0000SAT,2023,M05,2023 May,178.664
SUUR0000SAT,2023,M06,2023 Jun,179.194
